t_start,t_end,t_release,label,score,alarm,dominant,domain,csec_corr,csec_unc,decision_ms_after_target,csec_wait_ms,prov_score,prov_alarm,|r_bal|,|r_aux|,|r_cool|,|r_ups|,|r_qp|,|r_pv|,|r_reg|,e_rec,e_fc
2.00,3.27,3.28,0,4.54242,1,e_rec,single-domain,0.0000,0.0000,5.496,0,4.54242,1,-2.44,12.68,-0.5916,0,-0.8876,31.17,50,23.49,37.92
2.40,3.67,3.68,0,0.29103,1,e_rec,single-domain,0.0000,0.0000,3.911,0,0.29103,1,-2.483,13.8,-0.4191,0,-0.876,27.3,48.32,9.859,34.4
2.80,4.07,4.08,0,12.24198,1,e_rec,single-domain,0.0000,0.0000,3.630,0,12.24198,1,-2.167,13.42,-0.3544,0,-0.858,17.78,47.15,44.96,8.615
3.20,4.47,4.48,0,-1.45776,0,e_rec,single-domain,0.0000,0.0000,3.718,0,-1.45776,0,-0.9902,10.52,0.6235,0,0.1148,8.951,50,7.585,7.274
3.60,4.87,4.88,0,6.15978,1,e_rec,single-domain,0.0000,0.0000,3.472,0,6.15978,1,-0.7319,9.036,0.4308,0,-0.1449,2.722,44.57,30.65,7.057
4.00,5.27,5.28,0,4.13849,1,e_rec,single-domain,0.0000,0.0000,3.485,0,4.13849,1,0.8036,5.769,0.573,0,-0.06899,2.993,47.63,26.24,4.608
4.40,5.67,5.68,0,-2.99908,0,e_rec,single-domain,0.0000,0.0000,3.582,0,-2.99908,0,0.07175,4.152,1.136,0,-0.04566,4.408,41.78,5.081,5.099
4.80,6.07,6.08,0,-1.04705,0,e_rec,single-domain,0.0000,0.0000,3.517,0,-1.04705,0,0.1579,4.02,0.2386,0,0.1101,6.311,37.87,9.84,-0.6283
5.20,6.47,6.48,0,-2.25983,0,e_rec,cross-domain,0.0000,0.0000,3.716,0,-2.25983,0,0.2296,2.765,-0.05782,0,0.1149,5.951,28.71,5.273,-0.6245
5.60,6.87,6.88,0,-3.79753,0,|r_aux|,cross-domain,0.0000,0.0000,3.520,0,-3.79753,0,0.4592,1.819,1.074,0,-0.3272,3.258,18.84,-0.9946,0.146
6.00,7.27,7.28,0,-2.62962,0,e_rec,cross-domain,0.0000,0.0000,3.523,0,-2.62962,0,0.3301,1.676,0.3578,0,-0.8037,1.464,14.29,1.388,-0.3982
6.40,7.67,7.68,0,-3.10449,0,|r_aux|,cross-domain,0.0000,0.0000,3.650,0,-3.10449,0,0.574,0.723,0.4135,0,-0.3707,1.044,6.111,-0.5109,-0.1607
6.80,8.07,8.08,0,-2.69529,0,|r_aux|,cross-domain,0.0000,0.0000,3.514,0,-2.69529,0,0.531,1.328,2.131,0,-0.1642,2.064,0.621,-0.5817,-0.1853
7.20,8.47,8.48,0,-2.83512,0,|r_aux|,cross-domain,0.0000,0.0000,3.578,0,-2.83512,0,1.205,1.179,1.599,0,-0.09938,1.914,1.44,-1.098,-0.5261
7.60,8.87,8.88,0,-2.18815,0,e_rec,cross-domain,0.0000,0.0000,3.527,0,-2.18815,0,1.005,0.8483,1.658,0,0.4715,1.262,1.019,1.953,-0.1896
8.00,9.27,9.28,0,-2.91996,0,|r_bal|,cross-domain,0.0000,0.0000,3.988,0,-2.91996,0,0.8898,0.818,2.672,0,0.6363,1.756,0.8667,0.006649,0.5097
8.40,9.67,9.68,0,-3.16137,0,|r_aux|,cross-domain,0.0000,0.0000,3.720,0,-3.16137,0,0.4018,1.159,1.264,0,0.7582,1.255,0.02505,-0.5794,0.2581
8.80,10.07,10.08,0,-2.16603,0,e_rec,cross-domain,0.0000,0.0000,3.547,0,-2.16603,0,0.7462,1.031,0.6861,0,0.6967,1.277,-0.3338,2.127,0.1081
9.20,10.47,10.48,0,-2.59915,0,e_rec,cross-domain,0.0000,0.0000,3.608,0,-2.59915,0,0.4879,1.218,1.971,0,0.6899,0.317,-0.1757,0.9992,0.4198
9.60,10.87,10.88,0,-3.13819,0,|r_aux|,cross-domain,0.0000,0.0000,3.553,0,-3.13819,0,0.6458,1.389,1.204,0,0.6406,-0.1873,0.6683,-0.7193,-0.2219
10.00,11.27,11.28,0,-1.93993,0,e_rec,cross-domain,0.0000,0.0000,3.524,0,-1.93993,0,0.8898,1.142,1.047,0,0.2853,-0.7021,0.1367,2.464,0.7719
10.40,11.67,11.68,0,-2.53360,0,|r_aux|,cross-domain,0.0000,0.0000,3.611,0,-2.53360,0,0.818,1.124,2.721,0,-0.2429,0.08972,0.2316,-0.08695,0.08343
10.80,12.07,12.08,0,-2.79025,0,|r_aux|,cross-domain,0.0000,0.0000,3.762,0,-2.79025,0,0.6888,1.357,1.108,0,-0.1048,0.6188,0.6034,-0.7335,-0.09958
11.20,12.47,12.48,0,-1.68589,0,e_rec,cross-domain,0.0000,0.0000,3.904,0,-1.68589,0,0.3588,1.14,0.831,0,0.3484,1.754,0.1278,3.369,0.6147
11.60,12.87,12.88,0,-2.56237,0,|r_aux|,cross-domain,0.0000,0.0000,3.636,0,-2.56237,0,1.162,1.175,2.318,0,0.5908,1.86,0.3043,0.432,-0.3964
12.00,13.27,13.28,0,-3.09827,0,|r_aux|,cross-domain,0.0000,0.0000,4.793,0,-3.09827,0,0.9902,1.38,0.8368,0,0.4997,1.408,0.697,-1.13,0.3062
12.40,13.67,13.68,0,-2.67737,0,|r_bal|,cross-domain,0.0000,0.0000,3.841,0,-2.67737,0,1.292,1.093,0.5744,0,-0.1913,0.574,0.2828,-0.7653,-0.06297
12.80,14.07,14.08,0,-2.10184,0,e_rec,cross-domain,0.0000,0.0000,3.490,0,-2.10184,0,0.5023,0.9368,1.775,0,-0.3034,-0.1069,-0.00279,1.516,0.9805
13.20,14.47,14.48,0,-2.64981,0,|r_aux|,cross-domain,0.0000,0.0000,3.442,0,-2.64981,0,0.6171,1.249,0.6571,0,-0.4242,-0.3313,0.3177,-0.5308,0.1191
13.60,14.87,14.88,0,-2.42591,0,|r_aux|,cross-domain,0.0000,0.0000,3.634,0,-2.42591,0,0.1148,0.988,0.7913,0,-0.4542,-0.7088,-0.1538,0.5904,0.6445
14.00,15.27,15.28,0,-2.51589,0,|r_qp|,cross-domain,0.0000,0.0000,3.586,0,-2.51589,0,0.3731,1.03,2.132,0,-0.6277,-1.123,0.04853,-0.07211,0.06139
14.40,15.67,15.68,0,-2.52915,0,|r_aux|,cross-domain,0.0000,0.0000,3.681,0,-2.52915,0,0.4879,1.239,0.8351,0,-0.4676,-1.422,0.8437,0.05339,-0.3804
14.80,16.07,16.08,0,-1.90740,0,e_rec,cross-domain,0.0000,0.0000,3.686,0,-1.90740,0,0.4162,1.074,0.7759,0,0.1746,-1.288,0.3145,2.809,-0.1718
15.20,16.47,16.48,0,-2.49538,0,|r_aux|,cross-domain,0.0000,0.0000,3.394,0,-2.49538,0,0.4162,1.283,1.813,0,0.1118,-0.4466,0.1733,0.6689,-0.3706
15.60,16.87,16.88,0,-3.31054,0,|r_aux|,cross-domain,0.0000,0.0000,3.615,0,-3.31054,0,0.3301,1.48,0.8108,0,0.7719,-0.01167,1.245,-0.8357,-0.3157
16.00,17.27,17.28,0,-3.38856,0,|r_aux|,cross-domain,0.0000,0.0000,3.442,0,-3.38856,0,0.7175,1.073,0.5779,0,1.777,0.9585,0.2193,-0.02749,0.08895
16.40,17.67,17.68,0,-3.54422,0,|r_bal|,cross-domain,0.0000,0.0000,3.593,0,-3.54422,0,0.9185,0.7105,2.007,0,1.908,0.816,0.08654,-0.2209,0.4108
16.80,18.07,18.08,0,-3.01097,0,e_rec,cross-domain,0.0000,0.0000,3.443,0,-3.01097,0,1.048,1.074,0.7455,0,2.034,0.8114,0.2455,1.23,-0.1442
17.20,18.47,18.48,0,-2.56498,0,e_rec,cross-domain,0.0000,0.0000,3.511,0,-2.56498,0,1.722,0.9717,0.2362,0,1.543,-0.04478,0.411,1.685,-0.4536
17.60,18.87,18.88,0,-2.72214,0,|r_bal|,cross-domain,0.0000,0.0000,3.610,0,-2.72214,0,1.363,1.291,1.292,0,0.7297,-0.2691,0.4965,0.2187,-0.3115
18.00,19.27,19.28,0,-2.62590,0,|r_bal|,cross-domain,0.0000,0.0000,3.676,0,-2.62590,0,1.607,1.425,0.01475,0,0.16,-0.2089,1.722,-0.2481,-0.5941
18.40,19.67,19.68,0,-2.44182,0,|r_aux|,cross-domain,0.0000,0.0000,3.621,0,-2.44182,0,0.7462,0.9637,0.4648,0,-0.1178,0.6498,0.354,0.4573,-0.4533
18.80,20.07,20.08,0,-2.51374,0,e_rec,cross-domain,0.0000,0.0000,3.516,0,-2.51374,0,0.7749,0.6494,2.288,0,0.2084,0.8169,0.1849,0.803,-0.08677
19.20,20.47,20.48,0,-2.81268,0,|r_aux|,cross-domain,0.0000,0.0000,3.540,0,-2.81268,0,1.019,1.057,1.046,0,0.3927,1.034,0.1083,-0.3147,-0.1301
19.60,20.87,20.88,0,-2.86812,0,|r_aux|,cross-domain,0.0000,0.0000,3.655,0,-2.86812,0,0.4449,0.8562,0.8144,0,0.3824,0.9523,-0.1879,-0.04509,-0.2833
20.00,21.27,21.28,0,-2.43561,0,e_rec,cross-domain,0.0000,0.0000,4.093,0,-2.43561,0,0.2296,1.001,1.884,0,0.2502,1.066,-0.01752,1.197,0.6071
20.40,21.67,21.68,0,-2.83449,0,|r_aux|,cross-domain,0.0000,0.0000,3.506,0,-2.83449,0,0.4879,1.224,0.6862,0,0.6039,0.7621,0.6283,0.2718,0.0592
20.80,22.07,22.08,0,-2.97181,0,|r_aux|,cross-domain,0.0000,0.0000,3.482,0,-2.97181,0,0.6888,0.9292,0.5053,0,0.2201,-0.2403,-0.02458,-0.6092,-0.3653
21.20,22.47,22.48,0,-2.87158,0,e_rec,cross-domain,0.0000,0.0000,3.574,0,-2.87158,0,0.9902,0.8898,2.094,0,1.301,-0.9307,0.04928,0.9947,-0.2856
21.60,22.87,22.88,0,-3.09902,0,|r_aux|,cross-domain,0.0000,0.0000,3.678,0,-3.09902,0,1.048,1.184,0.8483,0,0.969,-0.6159,0.4652,-0.284,-0.18
22.00,23.27,23.28,0,-3.06278,0,|r_bal|,cross-domain,0.0000,0.0000,3.670,0,-3.06278,0,1.349,0.8648,1.055,0,1.127,-0.3754,-0.04616,-0.1029,-0.5153
22.40,23.67,23.68,0,-2.63602,0,|r_bal|,cross-domain,0.0000,0.0000,3.533,0,-2.63602,0,1.091,0.8783,2.444,0,0.1996,-0.2108,-0.002614,0.09683,-0.7647
22.80,24.07,24.08,0,-1.84353,0,e_rec,cross-domain,0.0000,0.0000,3.694,0,-1.84353,0,1.32,1.169,1.02,0,0.2684,-0.2784,0.9939,2.493,-0.1025
23.20,24.47,24.48,0,-2.39315,0,|r_aux|,cross-domain,0.0000,0.0000,3.614,0,-2.39315,0,0.7175,0.991,-0.01797,0,-0.42,0.07342,1.491,0.5385,0.05152
23.60,24.87,24.88,0,-2.10884,0,|r_qp|,cross-domain,0.0000,0.0000,3.716,0,-2.10884,0,0.6888,1.17,0.8583,0,-1.05,0.38,1.777,0.4527,-0.4686
24.00,25.27,25.28,0,-2.41974,0,|r_aux|,cross-domain,0.0000,0.0000,3.531,0,-2.41974,0,0.4162,1.349,-0.4582,0,-0.6935,0.1464,3.329,0.427,0.2747
24.40,25.67,25.68,0,-1.81048,0,e_rec,cross-domain,0.0000,0.0000,3.687,0,-1.81048,0,0.2583,1.085,-0.6124,0,-0.5757,-0.2278,2.582,2.541,-0.4631
24.80,26.07,26.08,0,-3.10084,0,|r_aux|,cross-domain,0.0000,0.0000,3.718,0,-3.10084,0,0.5884,1.064,0.8254,0,0.06656,-0.4662,2.271,-0.7225,0.1606
25.20,26.47,26.48,0,-2.73270,0,|r_aux|,cross-domain,0.0000,0.0000,3.552,0,-2.73270,0,0.7606,1.3,-0.4398,0,-0.1143,-0.2835,3.019,-0.01602,-0.3983
25.60,26.87,26.88,0,-2.71251,0,|r_bal|,cross-domain,0.0000,0.0000,3.652,0,-2.71251,0,1.277,0.9552,0.1209,0,0.5631,0.8381,1.389,0.3461,-0.7258
26.00,27.27,27.28,0,-2.84745,0,|r_bal|,cross-domain,0.0000,0.0000,3.756,0,-2.84745,0,1.421,0.8614,1.941,0,0.8222,1.022,1.024,0.1422,-0.5388
26.40,27.67,27.68,0,-2.53078,0,|r_bal|,cross-domain,0.0000,0.0000,3.611,0,-2.53078,0,1.249,1.187,0.7166,0,0.2414,1.257,1.21,0.3212,0.2667
26.80,28.07,28.08,0,-1.76055,0,e_rec,cross-domain,0.0000,0.0000,3.639,0,-1.76055,0,1.105,0.9967,0.06444,0,-0.6034,0.9109,1.434,1.856,0.1934
27.20,28.47,28.48,0,-2.14199,0,e_rec,cross-domain,0.0000,0.0000,3.503,0,-2.14199,0,1.076,1.093,0.8586,0,-0.5572,1.393,2.064,0.7365,-0.3968
27.60,28.87,28.88,0,-2.12376,0,e_rec,cross-domain,0.0000,0.0000,3.676,0,-2.12376,0,1.105,1.297,-0.2177,0,-0.4851,2.148,3.605,1.046,0.9216
28.00,29.27,29.28,0,-1.35090,0,e_rec,cross-domain,0.0000,0.0000,3.557,0,-1.35090,0,1.378,1.044,-0.8795,0,0.5474,2.029,3.469,4.694,0.9255
28.40,29.67,29.68,0,-2.99758,0,|r_bal|,cross-domain,0.0000,0.0000,3.642,0,-2.99758,0,1.679,1.05,0.1433,0,0.7709,1.403,3.639,-0.182,-0.4787
28.80,30.07,30.08,0,-3.19583,0,|r_bal|,cross-domain,0.0000,0.0000,3.725,0,-3.19583,0,1.708,1.259,-1.155,0,0.7884,0.8079,4.564,-0.5852,0.4999
29.20,30.47,30.48,0,-2.97633,0,|r_bal|,cross-domain,0.0000,0.0000,3.542,0,-2.97633,0,1.406,0.9141,-0.1307,0,0.7831,1.019,2.521,0.05962,0.4233
29.60,30.87,30.88,0,-2.95170,0,|r_bal|,cross-domain,0.0000,0.0000,3.580,0,-2.95170,0,1.492,0.8161,2.278,0,0.3143,0.8814,1.5,-0.678,0.3613
30.00,31.27,31.28,0,-2.72929,0,|r_aux|,cross-domain,0.0000,0.0000,3.702,0,-2.72929,0,1.076,1.161,1.288,0,0.298,1.036,1.077,-0.08907,0.1775
30.40,31.67,31.68,0,-2.47397,0,|r_bal|,cross-domain,0.0000,0.0000,3.511,0,-2.47397,0,0.9615,0.8491,1.124,0,-0.03853,1.001,0.3852,0.3633,-0.374
